,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
50,/datc/ortho/Cat2_pat20_meting10_oef2.csv,238,5,453,2018-12-10 10:35:24.109527,Rogier
51,/datc/ortho/Cat2_pat17_meting10_oef2.csv,260,3,497,2018-12-10 10:35:57.755491,Rogier
52,/datc/ortho/Cat2_pat14_meting10_oef2.csv,310,7,475,2018-12-10 10:36:59.788156,Rogier
53,/datc/ortho/Cat2_pat5_meting10_oef2.csv,7,7,100,2018-12-10 10:37:25.959361,Rogier
54,/datc/ortho/Cat2_pat18_meting10_oef2.csv,128,1,230,2018-12-10 10:37:54.593323,Rogier
55,/datc/ortho/Cat2_pat23_meting10_oef2.csv,123,1,225,2018-12-10 10:38:31.182692,Rogier
56,/datc/ortho/Cat2_pat15_meting10_oef2.csv,220,1,370,2018-12-10 10:38:55.862104,Rogier
57,/datc/ortho/Cat2_pat38_meting10_oef2.csv,0,2,105,2018-12-10 10:39:11.567640,Rogier
58,/datc/ortho/Cat2_pat33_meting10_oef2.csv,90,3,146,2018-12-10 10:39:34.113070,Rogier
59,/datc/ortho/Cat2_pat24_meting20_oef2.csv,0,2,170,2018-12-10 10:39:50.634743,Rogier
60,/datc/ortho/Cat2_pat11_meting20_oef2.csv,0,1,63,2018-12-10 10:40:24.846988,Rogier
61,/datc/ortho/Cat2_pat30_meting20_oef3.csv,0,2,110,2018-12-10 10:43:59.300246,Rogier
62,/datc/ortho/Cat2_pat15_meting20_oef3.csv,0,5,117,2018-12-10 10:44:25.260726,Rogier
63,/datc/ortho/Cat2_pat39_meting10_oef3.csv,0,3,85,2018-12-10 10:45:30.642757,Rogier
64,/datc/ortho/Cat2_pat14_meting20_oef3.csv,0,5,143,2018-12-10 10:46:48.807447,Rogier
65,/datc/ortho/Cat2_pat11_meting20_oef3.csv,0,2,92,2018-12-10 10:47:21.202178,Rogier
66,/datc/ortho/Cat2_pat3_meting20_oef3.csv,0,11,90,2018-12-10 10:47:52.226849,Rogier
67,/datc/ortho/Cat2_pat21_meting20_oef3.csv,0,4,65,2018-12-10 10:48:07.546933,Rogier
68,/datc/ortho/Cat2_pat6_meting20_oef3.csv,0,5,150,2018-12-10 10:48:29.656687,Rogier
69,/datc/ortho/Cat2_pat2_meting20_oef3.csv,0,21,113,2018-12-10 10:48:56.449169,Rogier
70,/datc/ortho/Cat2_pat36_meting10_oef3.csv,0,11,159,2018-12-10 10:49:27.451824,Rogier
71,/datc/ortho/Cat2_pat29_meting20_oef3.csv,0,5,105,2018-12-10 10:49:44.160706,Rogier
72,/datc/ortho/Cat2_pat32_meting20_oef3.csv,0,1,150,2018-12-10 10:50:00.170489,Rogier
73,/datc/ortho/Cat2_pat37_meting10_oef3.csv,0,5,159,2018-12-10 10:50:33.746692,Rogier
74,/datc/ortho/Cat2_pat24_meting20_oef3.csv,0,7,157,2018-12-10 10:51:01.138884,Rogier
